SMILES,Score,DENV_Activity (raw),QED (raw),SA (raw),MW,LogP,HBA,HBD,TPSA
CN1C(c2ccccc2)CC(C(=O)NCC2CCNC2)C1c1ccccc1,0.7207552,8.0132,0.8577,3.4721,0.9985487,0.9998038,0.97891,0.5,0.995989
Cc1ccc(C2C(C(=O)NCC3CCNCC3)CC(c3ccccc3)N2C)cc1,0.7131589,8.1624,0.8138,3.3586,0.999711,0.9951279,0.97891,0.5,0.995989
O=C(NCC1CC1)C1CC(c2ccccc2)N(C(=O)N2CCCNCC2)C1c1ccccc1,0.7127524,8.0085,0.7356,3.5033,0.9998538,0.9970924,0.97891,0.5,0.9999983
CC(=O)NC(=O)C1CC(c2cccc(C)c2)N(CC2CCNCC2)C1c1ccccc1,0.7085361,8.0093,0.7747,3.6271,0.9999423,0.996675,0.8720069,0.5,0.9999943
O=C(NC1CC1)C1CC(c2ccccc2)N(C(=O)CC2CCNCC2)C1c1ccccc1,0.7078865,8.0059,0.7272,3.4659,0.9999384,0.9907199,0.97891,0.5,0.9999943
CN1C(c2ccccc2)CC(C(=O)NCC2CCNC2)C1c1ccncc1,0.7074747,8.0141,0.8561,3.6548,0.9986289,0.9999174,0.8720069,0.5,0.9999714
CN1C(c2ccccc2)CC(C(=O)NCC2CCNCC2)C1c1ccccn1,0.7046388,8.1205,0.84,3.5042,0.999388,0.999927,0.8720069,0.5,0.9999714
O=C(NCC1CCC1)C1CC(c2ccccc2)N(C(=O)C2CCNC2)C1c1ccccc1,0.7010317,8.0022,0.7305,3.6295,0.9999384,0.9951639,0.97891,0.5,0.9999943
CNC(=O)C1CC(c2ccccc2)N(CCC2CCNCC2)C1c1cccnc1,0.700775,8.0035,0.7918,3.65,0.999727,0.9995605,0.8720069,0.5,0.9999714
O=C(NCC1CC1)C1CC(c2ccccc2)N(C(=O)C2CCNCC2)C1c1ccccc1,0.7000505,8.1003,0.7305,3.4604,0.9999384,0.9951639,0.97891,0.5,0.9999943
CCNC(=O)C1CC(c2ccccc2)N(CC2CCNC2)C1c1ccccn1,0.6948234,8.0275,0.8115,3.78,0.999388,0.999927,0.8720069,0.5,0.9999714
O=C(NCC1CCNC1)C1CC(c2ccccc2)N(C2CCC2)C1c1ccncc1,0.6906587,8.0307,0.7742,3.7745,0.9998633,0.9991531,0.8720069,0.5,0.9999714
O=C(NCC1CCNC1)C1CC(c2cccnc2)N(C2CCC2)C1c1ccccc1,0.6906113,8.0355,0.7742,3.7595,0.9998633,0.9991531,0.8720069,0.5,0.9999714
O=C(NC1CC1)C1CC(c2ccccc2)N(CC2CCCNCC2)C1c1ccncc1,0.6903205,8.0293,0.7481,3.7598,0.999939,0.9949162,0.8720069,0.5,0.9999714
O=C(NCC1CC1)C1CC(c2ccccc2)N(C2CCNC2)C1c1ccncc1,0.6899386,8.038,0.7959,3.7896,0.9996934,0.9998594,0.8720069,0.5,0.9999714
O=C(NCC1CCCC1)C1CC(c2ccccc2)N(C2CCNC2)C1c1ccncc1,0.6893851,8.03,0.7481,3.7955,0.999939,0.9949162,0.8720069,0.5,0.9999714
O=C(NC1CC1)C1CC(c2ccccc2)N(CCC2CCNCC2)C1c1cccnc1,0.688826,8.0396,0.7171,3.6393,0.999939,0.9949162,0.8720069,0.5,0.9999714
CC(=O)NC(=O)C1CC(c2ccccc2)N(C(=O)CC2CCNCC2)C1c1ccncc1,0.687228,8.0092,0.7552,3.7055,0.999927,0.9999661,0.5,0.5,0.9999829
O=C(NCC1CCNCC1)C1CC(c2ccccc2)N(C(=O)C2CC2)C1c1ccco1,0.6867018,8.105,0.7494,3.6579,0.9999485,0.9992548,0.8720069,0.5,1.0
O=C(NCC1CCNCC1)C1CC(c2ccccc2)N(C2CCC2)C1c1ccccn1,0.6854684,8.1256,0.7481,3.6284,0.999939,0.9949162,0.8720069,0.5,0.9999714
